geo_id,geo_name,total_pop,latin_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,other_pct,two_plus_pct,total_pop_race,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
860Z200US48001,ZCTA5 48001,11691,1.9,93.7,0.3,0.1,1.3,0.0,0.0,2.6,11691,217,10960,39,10,155,0,2,308
860Z200US48002,ZCTA5 48002,3121,0.8,97.8,0.0,0.0,0.0,0.0,0.0,1.4,3121,24,3051,0,0,0,0,1,45
860Z200US48003,ZCTA5 48003,5860,4.2,92.1,0.0,0.1,1.0,0.0,1.6,1.0,5860,245,5397,0,6,56,0,95,61
860Z200US48005,ZCTA5 48005,5317,0.6,96.9,0.2,0.2,0.1,0.0,0.0,2.0,5317,33,5150,10,13,3,0,0,108
860Z200US48006,ZCTA5 48006,3945,3.6,94.0,0.2,0.0,0.1,0.0,0.0,2.1,3945,141,3709,8,0,4,0,0,83
860Z200US48009,ZCTA5 48009,21738,3.0,85.8,3.1,0.0,4.6,0.0,0.1,3.4,21738,651,18645,682,6,1001,0,21,732
860Z200US48014,ZCTA5 48014,4334,8.7,87.0,0.0,0.0,0.1,0.0,1.0,3.2,4334,378,3769,0,1,4,0,43,139
860Z200US48015,ZCTA5 48015,8493,3.8,54.9,30.9,1.3,5.7,0.1,0.2,3.1,8493,325,4665,2628,107,480,9,18,261
860Z200US48017,ZCTA5 48017,11334,2.4,90.5,1.3,0.0,2.1,0.0,0.1,3.6,11334,277,10260,145,0,235,0,6,411
860Z200US48021,ZCTA5 48021,34087,1.7,39.2,52.9,0.1,0.8,0.0,0.3,5.0,34087,585,13363,18036,35,270,0,91,1707
860Z200US48022,ZCTA5 48022,2527,3.8,95.6,0.0,0.0,0.0,0.0,0.0,0.6,2527,95,2417,0,0,0,0,0,15
860Z200US48023,ZCTA5 48023,4993,0.3,90.8,4.1,0.2,0.0,0.0,0.0,4.6,4993,14,4534,205,8,0,0,0,232
860Z200US48025,ZCTA5 48025,14813,3.5,80.1,8.1,0.3,4.1,0.0,0.0,3.8,14813,520,11860,1201,46,613,5,3,565
860Z200US48026,ZCTA5 48026,14668,2.6,83.0,6.9,0.4,1.8,0.0,0.2,5.1,14668,377,12178,1009,64,261,7,27,745
860Z200US48027,ZCTA5 48027,3187,2.6,88.3,1.5,0.0,0.0,0.0,0.0,7.6,3187,82,2815,47,0,0,0,0,243
860Z200US48028,ZCTA5 48028,961,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.8,961,0,953,0,0,0,0,0,8
860Z200US48030,ZCTA5 48030,15065,5.5,75.1,8.7,0.2,2.1,0.0,0.4,7.9,15065,826,11312,1318,31,321,7,66,1184
860Z200US48032,ZCTA5 48032,1864,1.3,94.7,0.0,0.0,1.1,0.2,0.0,2.7,1864,25,1766,0,0,20,3,0,50
860Z200US48033,ZCTA5 48033,17380,0.4,23.5,68.8,0.1,1.0,0.2,0.0,6.0,17380,72,4076,11963,13,182,27,0,1047
860Z200US48034,ZCTA5 48034,15146,1.8,18.1,68.5,0.0,3.0,0.0,0.3,8.4,15146,268,2734,10381,1,447,0,50,1265
860Z200US48035,ZCTA5 48035,34385,3.9,68.9,21.4,0.0,2.3,0.0,0.0,3.3,34385,1355,23708,7355,11,801,0,11,1144
860Z200US48036,ZCTA5 48036,21499,4.2,64.4,22.0,0.1,3.2,0.0,0.0,6.1,21499,911,13856,4727,16,678,0,0,1311
860Z200US48038,ZCTA5 48038,44255,2.5,76.9,11.6,0.4,3.2,0.0,0.1,5.4,44255,1100,34012,5126,165,1430,0,30,2392
860Z200US48039,ZCTA5 48039,7486,1.2,97.8,0.0,0.1,0.0,0.0,0.0,0.9,7486,92,7322,0,8,0,0,0,64
860Z200US48040,ZCTA5 48040,9973,0.7,95.3,1.0,0.1,1.3,0.0,0.0,1.7,9973,65,9501,98,10,126,0,0,173
860Z200US48041,ZCTA5 48041,4415,1.7,95.5,0.6,0.0,0.1,0.0,0.0,2.1,4415,75,4218,27,0,4,0,0,91
860Z200US48042,ZCTA5 48042,32193,1.8,92.3,1.0,0.2,3.3,0.0,0.1,1.4,32193,570,29722,320,51,1047,0,48,435
860Z200US48043,ZCTA5 48043,15679,3.3,65.0,24.0,0.2,0.2,0.0,0.2,7.0,15679,523,10197,3758,34,25,0,39,1103
860Z200US48044,ZCTA5 48044,59225,2.9,83.6,7.2,0.1,3.1,0.0,0.3,2.9,59225,1705,49538,4251,51,1814,0,149,1717
860Z200US48045,ZCTA5 48045,24259,1.7,83.2,10.7,0.0,1.1,0.0,0.2,3.1,24259,404,20184,2585,6,266,9,47,758
860Z200US48047,ZCTA5 48047,39976,3.6,85.2,6.4,0.1,1.0,0.0,0.3,3.3,39976,1458,34047,2570,51,400,0,113,1337
860Z200US48048,ZCTA5 48048,10765,4.8,73.8,12.4,0.5,0.0,0.0,0.0,8.5,10765,515,7943,1337,57,1,0,0,912
860Z200US48049,ZCTA5 48049,5509,0.7,96.4,0.1,0.0,0.0,0.0,0.1,2.7,5509,40,5311,5,0,0,0,3,150
860Z200US48050,ZCTA5 48050,1427,0.1,94.2,0.0,0.8,0.0,0.0,0.0,5.0,1427,1,1344,0,11,0,0,0,71
860Z200US48051,ZCTA5 48051,17542,5.7,81.2,7.5,0.1,0.2,0.1,0.3,5.0,17542,1006,14238,1311,17,30,16,50,874
860Z200US48054,ZCTA5 48054,7204,2.2,95.2,1.4,0.0,0.2,0.0,0.0,1.0,7204,161,6855,104,1,12,0,0,71
860Z200US48059,ZCTA5 48059,15314,4.9,91.6,0.8,0.2,0.5,0.0,0.1,1.8,15314,754,14029,129,25,83,0,16,278
860Z200US48060,ZCTA5 48060,39644,6.4,80.1,7.1,0.3,0.6,0.0,0.2,5.4,39644,2519,31763,2831,101,219,11,62,2138
860Z200US48062,ZCTA5 48062,9351,4.6,85.8,4.7,0.0,0.0,2.6,0.0,2.3,9351,433,8019,437,0,0,243,0,219
860Z200US48063,ZCTA5 48063,4093,0.0,95.7,0.9,0.0,0.0,0.0,0.0,3.4,4093,1,3917,36,0,0,0,0,139
860Z200US48064,ZCTA5 48064,4001,4.6,94.2,0.0,0.0,0.0,0.0,0.0,1.1,4001,184,3770,0,0,1,0,0,46
860Z200US48065,ZCTA5 48065,11313,6.2,87.8,2.2,0.0,0.2,0.0,0.7,3.0,11313,696,9935,250,0,17,0,74,341
860Z200US48066,ZCTA5 48066,47476,3.8,67.7,22.8,0.1,1.4,0.1,0.3,3.8,47476,1801,32146,10826,46,674,24,153,1806
860Z200US48067,ZCTA5 48067,24285,6.2,84.0,2.8,0.0,2.9,0.0,0.5,3.6,24285,1499,20405,677,0,707,0,113,884
860Z200US48069,ZCTA5 48069,2609,4.3,90.9,0.7,0.0,1.1,0.0,0.2,2.9,2609,112,2372,17,0,28,0,5,75
860Z200US48070,ZCTA5 48070,6365,1.9,92.8,1.1,0.0,1.6,0.0,0.0,2.6,6365,122,5908,69,0,100,0,0,166
860Z200US48071,ZCTA5 48071,28521,1.8,80.9,7.3,0.2,6.4,0.1,0.4,2.9,28521,520,23082,2094,49,1822,20,121,813
860Z200US48072,ZCTA5 48072,15150,4.4,86.8,1.4,0.3,1.0,0.0,1.1,5.0,15150,668,13153,206,41,147,0,171,764
860Z200US48073,ZCTA5 48073,33822,3.1,82.2,7.4,0.0,3.9,0.0,0.4,3.0,33822,1052,27813,2491,11,1326,0,126,1003
860Z200US48074,ZCTA5 48074,9594,5.7,89.9,0.1,0.1,0.1,0.0,1.0,3.1,9594,550,8623,7,10,11,0,95,298
860Z200US48075,ZCTA5 48075,23416,0.9,24.6,67.5,0.2,0.5,0.0,0.6,5.7,23416,217,5760,15799,41,116,7,133,1343
860Z200US48076,ZCTA5 48076,24254,3.1,31.9,57.2,0.1,2.6,0.0,0.2,5.0,24254,755,7735,13868,16,620,0,40,1220
860Z200US48079,ZCTA5 48079,12572,2.3,94.2,0.8,0.0,0.3,0.1,0.3,2.0,12572,290,11840,98,0,40,8,40,256
860Z200US48080,ZCTA5 48080,22072,3.7,81.0,10.1,0.1,1.5,0.0,0.0,3.6,22072,812,17887,2232,22,330,0,0,789
860Z200US48081,ZCTA5 48081,20474,2.3,92.3,2.3,0.0,0.6,0.0,0.0,2.5,20474,463,18897,478,1,123,0,8,504
860Z200US48082,ZCTA5 48082,16043,1.8,90.6,4.1,0.0,0.3,0.1,0.2,2.8,16043,283,14529,662,6,56,19,32,456
860Z200US48083,ZCTA5 48083,23540,3.6,64.3,4.8,0.4,22.5,0.0,1.3,3.1,23540,855,15125,1141,99,5297,0,303,720
860Z200US48084,ZCTA5 48084,15571,2.4,54.2,5.8,0.0,33.8,0.1,1.2,2.4,15571,381,8445,905,6,5260,10,189,375
860Z200US48085,ZCTA5 48085,27514,1.7,69.8,3.7,0.0,21.3,0.0,0.3,3.2,27514,478,19218,1009,4,5853,0,69,883
860Z200US48088,ZCTA5 48088,23727,4.0,77.1,11.6,0.3,4.5,0.1,0.2,2.3,23727,945,18282,2761,67,1079,12,43,538
860Z200US48089,ZCTA5 48089,32509,2.9,56.2,29.5,0.2,6.0,0.0,0.2,5.1,32509,946,18257,9590,52,1935,0,73,1656
860Z200US48091,ZCTA5 48091,30063,2.1,50.1,24.7,0.2,17.4,0.0,0.8,4.7,30063,631,15068,7415,49,5243,0,233,1424
860Z200US48092,ZCTA5 48092,27848,2.0,64.8,12.5,0.1,17.0,0.0,0.2,3.3,27848,554,18043,3494,41,4729,0,68,919
860Z200US48093,ZCTA5 48093,24441,1.5,70.2,17.0,0.2,7.3,0.0,0.1,3.8,24441,368,17149,4147,42,1794,0,22,919
860Z200US48094,ZCTA5 48094,20310,4.5,91.4,1.3,0.0,0.7,0.0,0.0,2.0,20310,921,18571,266,0,138,0,0,414
860Z200US48095,ZCTA5 48095,5704,1.4,93.9,1.6,0.0,1.6,0.0,0.0,1.4,5704,80,5358,92,0,93,0,0,81
860Z200US48096,ZCTA5 48096,3780,0.5,95.3,0.1,0.4,0.4,0.0,0.0,3.3,3780,19,3601,2,15,17,0,0,126
860Z200US48097,ZCTA5 48097,5333,3.1,94.4,0.1,0.2,0.3,0.0,0.1,1.8,5333,163,5037,6,11,17,0,4,95
860Z200US48098,ZCTA5 48098,20545,2.7,60.8,2.0,0.2,30.1,0.0,0.3,3.9,20545,550,12499,416,32,6190,0,63,795
860Z200US48101,ZCTA5 48101,28395,11.7,78.4,4.3,0.0,1.5,0.0,0.5,3.7,28395,3318,22261,1211,14,420,0,129,1042
860Z200US48103,ZCTA5 48103,54563,5.1,73.4,4.9,0.4,10.2,0.0,1.0,5.0,54563,2774,40050,2647,229,5591,0,519,2753
860Z200US48104,ZCTA5 48104,45161,4.0,73.8,4.5,0.2,13.7,0.0,0.1,3.7,45161,1829,33333,2039,76,6200,0,25,1659
860Z200US48105,ZCTA5 48105,37598,4.0,57.3,5.1,0.0,27.1,0.0,0.5,6.0,37598,1514,21537,1918,7,10193,0,171,2258
860Z200US48108,ZCTA5 48108,26888,5.3,58.6,15.8,0.0,15.2,0.1,0.4,4.7,26888,1431,15750,4240,7,4077,26,105,1252
860Z200US48109,ZCTA5 48109,5773,5.9,62.1,5.0,0.1,23.6,0.0,0.0,3.3,5773,338,3587,288,6,1361,0,0,193
860Z200US48111,ZCTA5 48111,44169,4.5,64.8,23.2,0.0,1.8,0.0,0.3,5.3,44169,1981,28632,10265,4,784,11,134,2358
860Z200US48114,ZCTA5 48114,21573,2.0,91.9,1.2,0.2,1.4,0.0,0.2,3.1,21573,430,19827,254,45,299,0,41,677
860Z200US48116,ZCTA5 48116,26999,3.3,92.7,0.5,0.1,0.8,0.0,0.2,2.3,26999,886,25025,146,40,220,0,65,617
860Z200US48117,ZCTA5 48117,10258,1.9,92.5,1.8,0.0,0.4,0.0,0.0,3.3,10258,196,9489,186,0,45,0,0,342
860Z200US48118,ZCTA5 48118,13001,2.2,94.0,0.7,0.1,0.6,0.0,0.0,2.4,13001,286,12222,89,17,77,0,4,306
860Z200US48120,ZCTA5 48120,8919,1.4,77.5,2.4,0.0,5.6,0.0,3.4,9.6,8919,126,6914,210,0,502,0,307,860
860Z200US48122,ZCTA5 48122,12639,22.8,62.0,14.0,0.0,0.2,0.0,0.0,1.1,12639,2880,7832,1765,0,22,0,0,140
860Z200US48124,ZCTA5 48124,34046,5.3,84.0,4.6,0.1,1.3,0.0,0.3,4.5,34046,1791,28584,1555,25,434,0,116,1541
860Z200US48125,ZCTA5 48125,22082,8.6,77.2,9.3,0.2,0.2,0.0,0.0,4.4,22082,1896,17053,2050,53,51,11,0,968
860Z200US48126,ZCTA5 48126,53044,1.4,88.6,2.9,0.1,3.0,0.0,0.2,3.7,53044,743,46985,1546,74,1587,5,125,1979
860Z200US48127,ZCTA5 48127,40392,3.0,84.6,7.8,0.0,2.0,0.0,0.2,2.4,40392,1198,34175,3158,7,808,0,67,979
860Z200US48128,ZCTA5 48128,12405,3.1,92.7,1.6,0.1,1.5,0.0,0.3,0.8,12405,381,11497,193,7,180,0,43,104
860Z200US48130,ZCTA5 48130,16731,3.3,89.4,0.2,0.1,1.8,0.0,0.2,5.0,16731,547,14963,30,18,305,0,32,836
860Z200US48131,ZCTA5 48131,7978,5.9,91.0,0.3,0.0,0.6,0.0,0.0,2.2,7978,474,7260,22,0,45,0,1,176
860Z200US48133,ZCTA5 48133,6711,8.3,86.7,0.4,0.0,0.0,0.0,0.0,4.6,6711,557,5817,27,0,0,0,0,310
860Z200US48134,ZCTA5 48134,24114,5.0,77.3,10.9,0.5,1.8,0.0,0.4,3.9,24114,1210,18648,2630,127,444,0,105,950
860Z200US48135,ZCTA5 48135,27203,4.8,84.6,6.1,0.3,0.9,0.0,0.0,3.4,27203,1296,23019,1647,83,234,0,7,917
860Z200US48137,ZCTA5 48137,4361,0.0,98.1,0.4,0.4,0.0,0.0,0.0,1.0,4361,1,4278,19,18,1,0,0,44
860Z200US48138,ZCTA5 48138,10695,3.2,89.5,1.6,0.2,2.6,0.0,0.0,2.8,10695,345,9576,171,21,280,0,0,302
860Z200US48139,ZCTA5 48139,89,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,89,0,89,0,0,0,0,0,0
860Z200US48140,ZCTA5 48140,3414,1.1,98.8,0.0,0.0,0.0,0.0,0.0,0.0,3414,37,3374,1,0,1,0,0,1
860Z200US48141,ZCTA5 48141,25839,2.0,15.7,74.6,0.1,1.2,0.0,0.5,5.9,25839,509,4057,19277,15,313,2,139,1527
860Z200US48143,ZCTA5 48143,189,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,189,0,189,0,0,0,0,0,0
860Z200US48144,ZCTA5 48144,9672,4.1,86.6,1.3,0.1,1.0,0.0,0.0,7.1,9672,392,8377,122,6,93,0,0,682
860Z200US48145,ZCTA5 48145,2817,2.1,95.1,0.0,0.1,0.1,0.0,0.0,2.6,2817,59,2680,0,2,3,0,0,73
860Z200US48146,ZCTA5 48146,39807,26.7,58.8,9.5,0.3,0.6,0.0,0.5,3.5,39807,10625,23407,3788,123,236,0,216,1412
860Z200US48150,ZCTA5 48150,26707,5.2,84.7,3.2,0.2,2.3,0.0,0.1,4.3,26707,1381,22633,845,47,604,0,37,1160
860Z200US48152,ZCTA5 48152,30954,3.8,79.1,6.2,0.2,7.1,0.0,0.6,3.1,30954,1161,24491,1906,57,2206,0,185,948
860Z200US48154,ZCTA5 48154,37267,4.2,86.2,3.9,0.1,1.7,0.0,0.7,3.2,37267,1579,32140,1461,19,642,0,247,1179
860Z200US48157,ZCTA5 48157,1225,1.2,91.8,0.3,0.0,1.1,0.0,0.0,5.6,1225,15,1124,4,0,13,0,0,69
860Z200US48158,ZCTA5 48158,7883,3.0,92.3,1.1,0.5,0.3,0.0,1.3,1.6,7883,236,7275,83,41,24,0,99,125
860Z200US48159,ZCTA5 48159,2590,2.8,88.5,6.2,0.0,0.0,0.0,0.8,1.8,2590,72,2292,160,0,0,0,20,46
860Z200US48160,ZCTA5 48160,14163,5.5,81.5,8.7,0.3,0.5,0.0,0.3,3.1,14163,781,11543,1236,37,77,0,44,445
860Z200US48161,ZCTA5 48161,26775,4.4,85.9,4.9,0.0,0.6,0.0,0.2,4.0,26775,1168,23007,1309,11,166,0,45,1069
860Z200US48162,ZCTA5 48162,28740,3.0,91.3,1.9,0.1,0.5,0.0,0.4,2.6,28740,874,26253,551,36,152,12,101,761
860Z200US48164,ZCTA5 48164,9172,2.2,89.4,2.1,0.0,1.5,0.0,0.0,4.8,9172,205,8199,193,0,136,0,0,439
860Z200US48165,ZCTA5 48165,9128,8.6,79.0,1.2,0.2,8.7,0.0,0.4,1.9,9128,789,7212,111,16,793,0,36,171
860Z200US48166,ZCTA5 48166,13264,3.4,89.9,2.0,0.1,0.0,0.0,0.0,4.6,13264,451,11921,265,13,0,0,0,614
860Z200US48167,ZCTA5 48167,22830,3.5,78.7,3.4,0.1,10.8,0.0,0.6,2.9,22830,794,17971,779,13,2462,0,138,673
860Z200US48168,ZCTA5 48168,25444,3.2,72.5,2.4,0.0,18.1,0.0,0.2,3.6,25444,808,18455,605,0,4606,0,50,920
860Z200US48169,ZCTA5 48169,21210,3.1,93.9,0.2,0.1,0.8,0.0,0.1,1.8,21210,661,19915,50,22,175,0,11,376
860Z200US48170,ZCTA5 48170,40675,2.7,88.3,1.9,0.1,3.4,0.0,0.6,3.1,40675,1085,35905,779,26,1393,0,240,1247
860Z200US48173,ZCTA5 48173,13146,6.1,85.0,3.4,0.0,1.7,0.0,0.0,3.8,13146,802,11169,450,0,219,0,0,506
860Z200US48174,ZCTA5 48174,32155,3.2,52.1,37.9,0.1,1.6,0.0,0.1,5.0,32155,1035,16751,12193,33,518,0,20,1605
860Z200US48176,ZCTA5 48176,23240,5.5,84.2,2.0,0.2,3.8,0.0,0.6,3.8,23240,1273,19561,463,44,881,0,144,874
860Z200US48177,ZCTA5 48177,370,9.2,90.8,0.0,0.0,0.0,0.0,0.0,0.0,370,34,336,0,0,0,0,0,0
860Z200US48178,ZCTA5 48178,36842,3.2,89.9,0.6,0.0,2.5,0.0,0.6,3.1,36842,1173,33120,237,13,930,0,231,1138
860Z200US48179,ZCTA5 48179,3613,10.6,83.6,1.6,0.3,0.0,0.0,1.5,2.5,3613,383,3020,57,11,0,0,53,89
860Z200US48180,ZCTA5 48180,62937,7.7,66.9,20.1,0.2,1.1,0.0,0.2,3.8,62937,4820,42113,12674,142,704,0,108,2376
860Z200US48182,ZCTA5 48182,21391,4.4,92.3,0.9,0.0,0.1,0.0,0.0,2.3,21391,934,19749,189,0,19,0,0,500
860Z200US48183,ZCTA5 48183,42467,5.0,83.8,4.8,0.1,2.7,0.0,0.0,3.5,42467,2137,35606,2022,50,1155,0,11,1486
860Z200US48184,ZCTA5 48184,17860,3.7,65.0,22.3,0.7,1.4,0.0,0.2,6.7,17860,663,11604,3988,130,248,0,39,1188
860Z200US48185,ZCTA5 48185,48622,4.1,63.8,21.9,0.1,4.8,0.0,0.3,4.8,48622,2005,31041,10654,72,2341,0,154,2355
860Z200US48186,ZCTA5 48186,36184,6.2,62.8,22.1,0.5,2.1,0.0,0.3,5.9,36184,2252,22741,7989,190,748,0,118,2146
860Z200US48187,ZCTA5 48187,52861,4.7,66.7,8.6,0.0,15.6,0.0,0.1,4.3,52861,2485,35236,4560,18,8256,0,58,2248
860Z200US48188,ZCTA5 48188,45390,2.9,58.1,11.4,0.2,23.1,0.0,0.1,4.2,45390,1320,26383,5178,89,10466,0,28,1926
860Z200US48189,ZCTA5 48189,13718,3.1,93.4,0.9,0.1,0.8,0.0,0.5,1.1,13718,425,12816,130,13,111,0,68,155
860Z200US48190,ZCTA5 48190,187,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,187,0,187,0,0,0,0,0,0
860Z200US48191,ZCTA5 48191,4059,0.0,81.2,3.4,0.2,1.4,0.0,0.9,12.8,4059,0,3297,140,10,55,0,36,521
860Z200US48192,ZCTA5 48192,24857,6.6,87.2,1.6,0.1,0.5,0.1,0.8,3.1,24857,1631,21684,406,37,129,16,192,762
860Z200US48193,ZCTA5 48193,16786,5.5,75.6,9.7,0.0,4.2,0.1,0.2,4.8,16786,915,12690,1627,0,697,16,33,808
860Z200US48195,ZCTA5 48195,29948,10.5,76.3,7.7,0.0,2.5,0.0,0.2,2.8,29948,3156,22842,2298,6,757,0,47,842
860Z200US48197,ZCTA5 48197,66422,7.7,56.9,23.3,0.2,5.9,0.1,0.2,5.8,66422,5082,37815,15457,108,3908,48,135,3869
860Z200US48198,ZCTA5 48198,39867,6.3,48.1,34.1,0.1,1.9,0.1,0.7,8.6,39867,2512,19166,13610,55,748,47,290,3439
860Z200US48201,ZCTA5 48201,14287,3.7,24.1,61.0,0.1,6.9,0.2,0.4,3.6,14287,529,3443,8714,14,985,29,57,516
860Z200US48202,ZCTA5 48202,14617,2.7,25.2,61.7,0.8,5.9,0.2,0.8,2.7,14617,398,3687,9018,120,857,29,117,391
860Z200US48203,ZCTA5 48203,20584,2.3,7.9,86.7,0.1,0.5,0.0,0.1,2.5,20584,466,1621,17841,26,93,0,23,514
860Z200US48204,ZCTA5 48204,20365,3.7,3.5,88.0,0.6,0.1,0.0,0.0,4.1,20365,761,706,17913,132,22,3,0,828
860Z200US48205,ZCTA5 48205,31816,0.5,3.2,94.3,0.1,0.7,0.0,0.2,1.0,31816,144,1008,30009,44,235,0,51,325
860Z200US48206,ZCTA5 48206,16011,2.0,9.4,85.2,0.1,0.7,0.0,0.0,2.7,16011,315,1500,13639,18,109,3,1,426
860Z200US48207,ZCTA5 48207,20577,1.1,17.2,76.0,0.5,2.7,0.0,0.4,2.2,20577,220,3531,15634,96,563,0,81,452
860Z200US48208,ZCTA5 48208,7827,5.4,24.5,66.5,0.1,0.8,0.0,0.3,2.4,7827,420,1919,5206,6,66,0,24,186
860Z200US48209,ZCTA5 48209,26944,73.8,18.4,5.6,0.3,0.1,0.0,0.0,1.8,26944,19878,4960,1496,93,24,0,9,484
860Z200US48210,ZCTA5 48210,26547,57.3,20.1,18.5,0.2,0.2,0.0,0.9,3.0,26547,15199,5323,4900,60,41,0,239,785
860Z200US48211,ZCTA5 48211,5526,0.9,48.6,39.5,0.0,2.6,0.0,2.4,6.0,5526,49,2687,2181,0,141,0,134,334
860Z200US48212,ZCTA5 48212,43213,0.4,41.8,20.8,0.4,28.9,0.2,2.4,5.1,43213,186,18047,8984,170,12483,93,1047,2203
860Z200US48213,ZCTA5 48213,21232,1.9,3.7,93.4,0.1,0.1,0.0,0.1,0.7,21232,408,775,19837,13,21,0,25,153
860Z200US48214,ZCTA5 48214,19372,0.7,15.0,80.1,0.0,0.2,0.0,1.0,2.9,19372,138,2911,15522,0,46,0,191,564
860Z200US48215,ZCTA5 48215,11018,2.0,7.9,88.4,0.1,0.1,0.0,0.0,1.5,11018,219,870,9738,11,12,0,0,168
860Z200US48216,ZCTA5 48216,5171,26.3,29.9,36.7,0.1,0.7,0.0,3.1,3.3,5171,1360,1547,1898,3,34,0,159,170
