territory_code,location_names
1,"Addison Township, Buckley, Copemish, Lakeville, Manton, Morley"
2,"Adrian, Berrien Springs, Niles, Sodus, Weston"
3,"Alabaster, Au Gres, Greenbush, Omer, Osseo, Standish, Unionville, Vandalia"
4,"Algonac, Harsens Island, Marysville"
5,"Allenton, Center Line"
6,"Almont, Baldwin, Branch, Grant"
7,"Ann Arbor, Essexville, Linwood"
8,Armada
9,"Amasa, Arnold, Bruce Crossing, Gaastra"
10,"Ash Twp, Otisville"
11,"Attica, Dryden, Fostoria, Hadley, Metamora, Otter Lake"
12,"Au Sable, Bay Port, Higgins Lake, Houghton Lake, Houghton Lake Heights, Lewiston, Prudenville, Roscommon"
13,Auburn Hills
14,"Augusta Twp, Bridgeport, Frankenmuth, Linden, Petersburg, Whittaker"
15,"Avoca, Brown City, Clifford"
16,"Azalia, Maybee"
17,"Baraga, Bergland, Crystal Falls, Ewen, Rockland, Watersmeet"
18,"Bark River, Carney, Harris, Nadeau, Perronville, Powers, Wilson"
19,"Augusta, Battle Creek, Douglas, Fennville, Glenn, Indian River, Three Oaks, Topinabee"
20,"Bay City, Benton Harbor, Dimondale, Eagle, Kawkawlin, Midland, Sanford, Schoolcraft"
21,"Bay Harbor, Boyne City, Chassell, Conway, Hopkins, Lawton, Martin, Shelbyville, Spring Arbor, Walloon Lake, Williamston"
22,"Bay Shore, Brutus, Clarklake, Decatur, Kewadin, Levering, Mackinaw City, New Lothrop, Pellston, Shepherd, Skandia"
23,"Bear Lake, Brethren, Cedarville, De Tour Village, Drummond Island, Harrietta, Lyons, Mesick, Sheridan, Sidney, White Cloud"
24,"Beechwood, Caspian, Stambaugh"
25,"Belding, Champion, Cloverdale, Delton, Dowling"
26,"Belleville, Wixom"
27,"Beaverton, Bentley, Big Bay, Comins, Elkton, Michigamme"
28,"Beverly Hills, Clio, Pleasant Ridge"
29,"Bham, Goodrich, Hartland"
30,"Blanchard, Crystal, Evart, Hale, Lincoln, Long Lake, Lupton, Wallace, Whittemore"
31,Bloomfield
32,Bloomfield Hills
33,Bloomfield Township
34,"Bloomfield Village, Troy"
35,"Bois Blanc Island, Mackinac Island"
36,"Allendale, Borculo, Byron Center"
37,"Brampton, Escanaba, Jonesville, Mosherville, Wells"
38,"Brandon, Mount Morris"
39,"Bridgewater, Bridgman, Galesburg, Holt, Lansing, Mattawan"
40,"Auburn, Brighton, Riga"
41,"Brighton Twp, Munger, Saginaw"
42,"Brimley, Cheboygan, Dexter, Lawrence, Mullett Lake, Plainwell, Richland, South Haven, Three Rivers, Vernon, Vicksburg"
43,"Blissfield, Britton, Deerfield, Union Pier"
44,"Brockway, Croswell, Sandusky"
45,"Brownstown, Burt"
46,Brownstown Township
47,Bruce
48,"Bailey, Brunswick, Casnovia, Kent City, Pierson, Sand Lake"
49,"Bangor, Buchanan, Hemlock, Lennon, Merrill"
50,"Burtchville, La Salle, Ottawa Lake"
51,"Burton, Huntington Woods"
52,"Alma, Cadillac, Grass Lake, Gulliver, Ionia, Marcellus, Mc Millan, Newberry, Pleasant Lake, Portland, Seney, Shingleton, Trout Lake"
53,"Au Train, Bradley, Caledonia, Moline, Ravenna, Rockford, Wayland"
54,"Calumet, Ishpeming, Laingsburg, Perry, Shaftsburg"
55,"Big Rapids, Canadian Lakes, Chippewa Lake, Gowen, Hart, Leroy, National City, Rodney"
56,"Canton, Plymouth"
57,"Canton Twp, White Lake"
58,"Capac, Emmett"
59,"Bellevue, Beulah, Carland, Clarksville, Concord, Dansville, Elberta, Frankfort, Hastings, Woodland"
60,Cascade
61,"Casco, Imlay City"
62,"Caseville, Fife Lake, Filion, Gaines, North Branch, Shelby"
63,"Cedar River, Daggett, Hermansville"
64,"Cement City, Engadine, Lachine, Lake Odessa, Posen, Presque Isle, Rosebush"
65,"Chatham, Decker, Fountain, Luther, Marion, Mecosta, Nahma, Rapid River, Reed City, Sears, Stanton, Turner, Ubly, Walhalla, Wetmore"
66,"Chesterfield, Garden City"
67,Chesterfield Township
68,"China, Lexington"
69,"Alden, Christmas, Conklin"
70,Clarkston
71,Clayton
72,Clyde
73,Columbus
74,Commerce
75,Commerce Township
76,"Bellaire, Copper Harbor, Lowell, Ludington, Onekama, Onsted"
77,"Cornell, Lanse"
78,Cottrellville
79,"Croton, Hesperia, Kingston, Melvin, Silverwood"
80,Cutlerville
81,"Davisburg, Fenton, Holly, Howell, Reese"
82,"Dearborn Heights, Delray"
83,"Dearborn, Detroit"
84,"Birch Run, Dexter Twp, Lakeland, Montague"
85,"Bath, Dodgeville, Gobles, Grand Ledge, Kendall, Mason, Otsego"
86,Drayton Plains
87,"Alger, Alpha, Carson City, Cass City, Cedar Lake, Cooks, Duck Lake, Fenwick, Muir, Onaway, Palo, Remus, Sterling, Vermontville, Vestaburg, Wellston"
88,Duncan
89,"Afton, Coleman, Durand, Elwell, Hessel, Manitou Beach, Moran, Mount Pleasant, Naubinway, Paradise, Winn"
90,"Bancroft, Burlington, Ceresco, Channing, Eagle Harbor, Eaton Rapids, Horton, Marshall, Morrice, Moscow"
91,East Detroit
92,Center
93,"Center Alba, Central Lake, Eastport, Eckerman, Ellsworth, Fremont, Gregory, Howard City, Hulbert, Mancelona, New Era, Pentwater, Rothbury"
94,Ecorse
95,"Cassopolis, Edwardsburg, Fowlerville, Sand Creek"
96,"Anchorville, Fair Haven, Grosse Ile"
97,Farmington
98,Farmington Hills
99,"Felch, Perkins, Rock"
100,"Ferndale, Genesee, Southgate"
101,"Charlotte, Elmira, Fibre, Hickory Corners, Munith, Parma, Rives Junction, Wolverine"
102,Flat Rock
103,Flint
104,Frenchtown
105,"Atlantic Mine, Gay, Hubbell, Painesdale"
106,"Alto, Gaylord, Kinross, Lake Ann, Tecumseh, Waters"
107,"Comstock, Georgetown Township"
108,"Erie, Gibraltar"
109,"Barryton, Bitely, Coral, Goetzville, Kinde, Lakeview"
110,"Ahmeek, Alanson, Allouez, Boyne Falls, Burt Lake, Carp Lake, Copper City, Cross Village, Good Hart, Oden, South Range, Vanderbilt"
111,"Goodells, South Rockwood"
112,Goodison
113,"Grand Beach, Millington, Napoleon"
114,"Belmont, Comstock Park, Grand Rapids"
115,"Ada, Cannonsburg, Grandville"
116,Grant Township
117,Green Oak Twp
118,"Brohman, Chase, Custer, Deford, Falmouth, Grindstone City, Hersey, Idlewild, Irons, Saint Helen, Tustin"
119,"Grosse Pointe, Hazel Park"
120,Grosse Pointe Farms
121,Grosse Pointe Park
122,"Brant, Grosse Pointe Shores"
123,"Gwinn, Little Lake, Mulliken, Ontonagon, Ovid, Republic, Saranac, White Pine"
124,Hamburg
125,"Beaver Island, Coloma, Covert, Hamburg Twp, Hartford, Riverside, Watervliet"
126,"Hamtramck, North Star, Tower"
127,"Deerton, Dollar Bay, Hancock"
128,Harper Woods
129,"Harrison Township, Roseville"
130,"Grawn, Harvey, Paw Paw"
131,"Breedsville, Burr Oak, Clare, Coldwater, Colon, Fowler, Fulton, Grand Junction, Grand Marais, Henderson, Lacota, Leonidas, Sunfield"
132,"Cedar Springs, Highland"
133,Highland Park
134,"Cohoctah, Highland Twp"
135,"East Leroy, Haslett, Houghton, Negaunee, Palmer"
136,"Eureka, Hudson, Litchfield, Pewamo, Quincy, Saint Johns, Tekonsha"
137,Huron Twp
138,"Clawson, Independence"
139,"Independence Township, Sparta"
140,"Independence Twp, Royal Oak"
141,"Interlochen, Jasper, Palmyra"
142,"Ashley, Brooklyn, Iron Mountain, Norvell, Pompeii, Waldron"
143,"Fruitport, Holland, Kalamazoo, Macatawa"
144,Keego Harbor
145,"Kenton, Norway, Pelkie, Sagola, Sidnaw, Spalding, Sumner"
146,Kentwood
147,"Kimball, Saint Clair Shores"
148,"Allegan, Chelsea, Kincheloe, Manchester, Mendon, Pinconning, Pullman, South Boardman"
149,"Bronson, Kingsford, Rogers City, Union City"
150,"East Jordan, Farwell, Greenville, Lake City, Mc Bain"
151,"Addison, Atlanta, Chesaning, Fairview, Frontier, Glen Arbor, Hillsdale, Lake Isabella, Menominee, North Adams, Sebewaing"
152,"Columbiaville, Fairgrove, Lake Nepessing"
153,"Davison, Lake Orion, New Hudson, Oxford"
154,"Lakewood Club, Traverse City"
155,"Inkster, Lathrup Village, Taylor, Warren"
156,Lenox
157,Lenox Township
158,"Elm Hall, Garden, Loretto, Luzerne, Riverdale, West Branch"
159,Macomb
160,Macomb Township
161,"Arcadia, Benzonia, Eastlake, Empire, Filer City, Free Soil, Freeport, Honor, Kaleva, Manistee, Thompsonville, Trufant, Webberville"
162,"Albion, Hanover, Homer, Leslie, Manistique, Onondaga, Orleans, Skanee, Stockbridge"
163,"Greenland, Marenisco, Mass City, Nisula, Toivola"
164,"Jones, Mears, Nottawa, Sturgis"
165,Memphis
166,"Allen Park, Madison Heights, Mi Metro"
167,Milford
168,Milford Twp
169,"Hawks, Hillman, Millersburg, Owendale, Rose City, Twining"
170,"Carsonville, Forestville, Merritt, Minden City, Port Hope, Ruth"
171,"Lambertville, Luna Pier, Monroe"
172,"Akron, Mottville"
173,"Muskegon, Oshtemo"
174,"Atlas, Grand Blanc, Muskegon Heights"
175,New Baltimore
176,"Fraser, Mount Clemens, New Haven"
177,"Flushing, Northville"
178,"Berkley, Northville Township"
179,"Norton Shores, Old Mission"
180,"Melvindale, Oak Park"
181,"Novi, Oakland, Salem"
182,Oakland Township
183,"Orchard Lake, Union Lake"
184,"Carrollton, Montrose, Orion, Tipton"
185,Orion Township
186,"Bloomingdale, Morenci, Owosso, Potterville"
187,"Argyle, Deckerville, Harbor Beach, Lake, Lake George, Marlette, Palms, Snover"
188,"Okemos, Parchment"
189,"Barbeau, Dafter, Johannesburg, Omena, Peshawbestown, Pickford, Rapid City, Saint Ignace"
190,"Curtis, Germfask, Gould City, Mio, Montgomery, Pigeon, Wheeler"
191,"Boon, Camden, Gladwin, Nashville, Pittsford, Sherwood"
192,Pontiac
193,"Newport, Port Huron"
194,"Coopersville, East Lansing, Hamilton, Jackson, Michigan Center, Nunica, Port Sheldon, Saugatuck"
195,"Climax, Harbert, Lakeside, New Troy, Portage, Sawyer"
196,"Bad Axe, Barton City, Black River, Curran, Gagetown, Glennie, Harrisville, Mikado, Prescott, South Branch, Spruce"
197,"Foster City, Mayville, Paris, Ralph, Scottville, Walkerville"
198,"Rankin, South Lyon"
199,Rawsonville
200,"Clinton Township, Ray"
201,"Redford, Sterling Heights"
202,Redford Twp
203,"Edenville, Hope, Rhodes"
204,Richmond
205,River Rouge
206,Riverview
207,Rochester
208,Rochester Hills
209,Romulus
210,"Bessemer, Breckenridge, Centreville, Ironwood, Ramsay, Rumely, Saint Louis, Wakefield, Westphalia"
211,"Ida, Saint Clair, Samaria, Temperance"
212,"Dewitt, Saint Joseph"
213,"Cedar, Elk Rapids, Kingsley, Leland, Maple City, Mayfield, Northport, Sault Sainte Marie"
214,Shelby Township
215,Southfield
216,"Ferrysburg, Grand Haven, Hudsonville, Jamestown, Spring Lake"
217,"Galien, Scotts, Springfield"
218,"Bedford, Lamont, Marne, Standale"
219,"Clinton, Livonia, Superior Township"
220,"Acme, Frederic, Grayling, Kalkaska, Lake Leelanau, Sylvan Beach, Whitehall, Williamsburg"
221,"Allen, Athens, Bannister, Covington, Ithaca, Jerome, Maple Rapids, Oakley, Olivet, Perrinton, Quinnesec, Reading, Traunik"
222,"Lincoln Park, Trenton"
223,"Applegate, Caro, Harrison, Peck, Port Sanilac, Richville, Tuscola"
224,Union
225,"Baroda, Freeland, Stevensville, University Center"
226,Utica
227,"Edmore, Hubbardston, Ingalls, Mcbrides, Middleton, Six Lakes, Vulcan, Watton"
228,"Burnips, Dorr, Walker"
229,Washington
230,Washington Township
231,Waterford
232,Waterford Township
233,Wayne
234,West Bloomfield
235,Westland
236,"Byron, Middleville, Nazareth, Westwood"
237,"Saint Charles, Willis, Wyandotte"
238,Wyoming
239,Ypsilanti
240,Almont Township
241,Armada Township
242,Bay View
243,Berlin
244,Berlin Township
245,Berville
246,Bingham Farms
247,Birmingham
248,Brockway Township
249,Bruce Township
250,Burtchville Township
251,Cadmus
252,Carleton
253,Casco Township
254,Centennial Heights
255,Charlevoix
256,China Township
257,Clay
258,Clay Township
259,Clayton Twp
260,Clyde Township
261,Columbus Township
262,Cottrellville Township
263,Dundee
264,Dutton
265,Eagle River
266,East China
267,East China Township
268,Eastpointe
269,Elsie
270,Fargo
271,Fort Gratiot
272,Fort Gratiot Township
273,Franklin
274,Gladstone
275,Glendora
276,Greenwood
277,Greenwood Township
278,Grosse Pointe Woods
279,Harbor Point
280,Harbor Springs
281,Hardwood
282,Hell
283,Holton
284,Hoxeyville
285,Ira
286,Ira Township
287,Iron River
288,Jeddo
289,Jenison
290,Karlin
291,Kearsarge
292,Kenockee
293,Kenockee Township
294,Keweenaw Bay
295,Kimball Township
296,Lake Angelus
297,Lake Linden
298,Lakeport
299,Lapeer
300,Laurium
301,Leonard
302,Limestone
303,Lum
304,Lynn
305,Lynn Township
306,Marine City
307,Marquette
308,Merriweather
309,Michiana
310,Milan
311,Millbrook
312,Mohawk
313,Moorestown
314,Munising
315,Mussey
316,New Boston
317,New Buffalo
318,Newaygo
319,North Street
320,Ocqueoc
321,Ortonville
322,Oscoda
323,Pearl Beach
324,Petoskey
325,Pierport
326,Pinckney
327,Pointe Aux Pins
328,Port Austin
329,Port Elizabeth
330,Port Huron Township
331,Prattville
332,Princeton
333,Putnam Twp
334,Raco
335,Raisinville Twp
336,Ray Township
337,Richmond Township
338,Ridgeway
339,Riley
340,Riley Township
341,Ripley
342,Rockwood
343,Rollin
344,Romeo
345,Roos
346,Ruby
347,Rudyard
348,Russell Island
349,Saint Clair Township
350,Saline
351,Sand Point
352,Schaffer
353,Selfridge
354,Selfridge Angb
355,Shoreham
356,Silver Lake
357,Smiths Creek
358,Smyrna
359,Somerset
360,Springfield Township
361,Springport
362,Stalwart
363,Stanwood
364,Stephenson
365,Stronach
366,Strongs
367,Sumpter Twp
368,Suttons Bay
369,Swartz Creek
370,Sylvan Lake
371,Tawas City
372,Thompson
373,Treetops Village
374,Trenary
375,Trout Creek
376,Twin Lake
377,Van Buren Twp
378,Vassar
379,Vernon City
380,Wabaningo
381,Wales
382,Wales Township
383,Walled Lake
384,Weidman
385,Wequetonsing
386,West Olive
387,White Pigeon
388,Whitmore Lake
389,Wolverine Lake
390,Woodhaven
391,Yale
392,Zeeland
