Territory Code,BI,PD/LPD/PPI,COMP,COLL,LOAN,ME/WL/ACR,UM/UIM,RENT,TOW,ACPE,COMP-TRLR,COLL-TRLR
197,1.08,0.94,2.56,0.77,2.56,0.95,0.95,0.77,0.77,2.56,2.56,0.77
198,1.06,0.81,0.68,0.85,0.68,0.71,0.71,0.85,0.85,0.68,0.68,0.85
199,0.92,1.04,0.56,0.83,0.56,0.81,0.81,0.83,0.83,0.56,0.56,0.83
200,1.21,0.89,0.64,1.19,0.64,1.42,1.42,1.19,1.19,0.64,0.64,1.19
201,1.37,0.89,0.84,1.21,0.84,1.86,1.86,1.21,1.21,0.84,0.84,1.21
202,1.42,0.9,1.41,1.56,1.41,2.42,2.42,1.56,1.56,1.41,1.41,1.56
203,0.88,0.97,1.43,0.83,1.43,1.4,1.4,0.83,0.83,1.43,1.43,0.83
204,1.28,1.09,0.81,0.85,0.81,1.43,1.43,0.85,0.85,0.81,0.81,0.85
205,1.4,1.28,1.77,1.45,1.77,1.71,1.71,1.45,1.45,1.77,1.77,1.45
206,1.3,1.12,0.58,1.31,0.58,0.96,0.96,1.31,1.31,0.58,0.58,1.31
207,1.11,0.91,0.51,1.15,0.51,0.86,0.86,1.15,1.15,0.51,0.51,1.15
208,1.09,0.89,0.47,0.94,0.47,1.08,1.08,0.94,0.94,0.47,0.47,0.94
209,1.11,1.07,1.0,1.23,1.0,1.74,1.74,1.23,1.23,1.0,1.0,1.23
210,0.77,1.11,1.55,0.66,1.55,0.81,0.81,0.66,0.66,1.55,1.55,0.66
211,1.37,3.16,0.65,0.71,0.65,0.79,0.79,0.71,0.71,0.65,0.65,0.71
212,0.75,1.0,0.8,0.75,0.8,0.47,0.47,0.75,0.75,0.8,0.8,0.75
213,0.88,1.03,0.87,0.83,0.87,0.61,0.61,0.83,0.83,0.87,0.87,0.83
214,1.23,0.94,0.51,1.26,0.51,1.23,1.23,1.26,1.26,0.51,0.51,1.26
215,1.31,0.98,1.27,1.36,1.27,1.93,1.93,1.36,1.36,1.27,1.27,1.36
216,0.68,0.77,0.7,0.85,0.7,0.66,0.66,0.85,0.85,0.7,0.7,0.85
217,0.8,1.17,1.15,0.74,1.15,0.75,0.75,0.74,0.74,1.15,1.15,0.74
218,0.66,0.93,0.91,1.18,0.91,0.57,0.57,1.18,1.18,0.91,0.91,1.18
219,0.99,0.83,0.62,1.02,0.62,0.94,0.94,1.02,1.02,0.62,0.62,1.02
220,0.94,0.98,1.0,0.87,1.0,0.59,0.59,0.87,0.87,1.0,1.0,0.87
221,0.76,0.89,2.43,0.65,2.43,0.53,0.53,0.65,0.65,2.43,2.43,0.65
222,1.13,0.95,0.65,1.2,0.65,1.41,1.41,1.2,1.2,0.65,0.65,1.2
223,1.12,1.06,2.08,0.69,2.08,0.74,0.74,0.69,0.69,2.08,2.08,0.69
224,1.55,2.28,0.9,0.88,0.9,0.56,0.56,0.88,0.88,0.9,0.9,0.88
225,0.82,1.16,0.9,0.77,0.9,0.55,0.55,0.77,0.77,0.9,0.9,0.77
226,1.24,0.94,0.44,0.98,0.44,1.22,1.22,0.98,0.98,0.44,0.44,0.98
227,0.84,0.84,2.46,0.71,2.46,0.93,0.93,0.71,0.71,2.46,2.46,0.71
228,0.74,0.84,0.83,0.87,0.83,0.89,0.89,0.87,0.87,0.83,0.83,0.87
229,1.13,0.91,0.52,0.93,0.52,1.1,1.1,0.93,0.93,0.52,0.52,0.93
230,1.13,0.9,0.82,1.34,0.82,1.61,1.61,1.34,1.34,0.82,0.82,1.34
231,1.09,0.88,0.59,1.24,0.59,0.9,0.9,1.24,1.24,0.59,0.59,1.24
232,1.11,0.86,0.39,0.96,0.39,1.15,1.15,0.96,0.96,0.39,0.39,0.96
233,1.11,0.85,0.82,1.3,0.82,1.8,1.8,1.3,1.3,0.82,0.82,1.3
234,1.25,1.12,0.9,1.25,0.9,1.31,1.31,1.25,1.25,0.9,0.9,1.25
235,1.16,1.02,0.86,1.25,0.86,1.7,1.7,1.25,1.25,0.86,0.86,1.25
236,0.82,0.84,1.66,0.91,1.66,0.76,0.76,0.91,0.91,1.66,1.66,0.91
237,1.04,1.05,0.6,0.95,0.6,1.06,1.06,0.95,0.95,0.6,0.6,0.95
238,0.76,0.96,0.76,1.22,0.76,0.65,0.65,1.22,1.22,0.76,0.76,1.22
239,0.96,0.96,0.67,1.17,0.67,1.15,1.15,1.17,1.17,0.67,0.67,1.17
240,1.19,1.13,0.76,0.93,0.76,0.99,0.99,0.93,0.93,0.76,0.76,0.93
241,1.1,1.15,0.62,0.91,0.62,0.93,0.93,0.91,0.91,0.62,0.62,0.91
242,0.77,1.07,0.88,0.7,0.88,0.54,0.54,0.7,0.7,0.88,0.88,0.7
243,1.16,1.07,0.81,0.89,0.81,1.05,1.05,0.89,0.89,0.81,0.81,0.89
244,1.16,1.07,1.46,1.32,1.46,1.05,1.05,1.32,1.32,1.46,1.46,1.32
245,1.16,1.07,0.81,0.89,0.81,1.05,1.05,0.89,0.89,0.81,0.81,0.89
246,1.12,1.28,0.6,1.29,0.6,0.99,0.99,1.29,1.29,0.6,0.6,1.29
247,1.23,1.44,0.59,0.93,0.59,1.09,1.09,0.93,0.93,0.59,0.59,0.93
248,1.14,1.08,2.08,1.09,2.08,0.98,0.98,1.09,1.09,2.08,2.08,1.09
249,1.08,1.13,0.75,1.2,0.75,1.23,1.23,1.2,1.2,0.75,0.75,1.2
250,1.2,0.9,0.55,0.74,0.55,0.77,0.77,0.74,0.74,0.55,0.55,0.74
251,1.04,1.22,0.59,0.95,0.59,0.9,0.9,0.95,0.95,0.59,0.59,0.95
252,1.08,1.51,0.51,0.83,0.51,0.85,0.85,0.83,0.83,0.51,0.51,0.83
253,1.18,1.09,0.53,1.32,0.53,1.67,1.67,1.32,1.32,0.53,0.53,1.32
254,0.72,1.22,0.88,1.1,0.88,0.48,0.48,1.1,1.1,0.88,0.88,1.1
255,0.86,1.01,1.29,0.7,1.29,0.86,0.86,0.7,0.7,1.29,1.29,0.7
256,1.24,1.07,0.92,1.1,0.92,0.86,0.86,1.1,1.1,0.92,0.92,1.1
257,1.2,0.83,0.46,1.0,0.46,1.32,1.32,1.0,1.0,0.46,0.46,1.0
258,1.2,0.83,0.82,0.82,0.82,0.79,0.79,0.82,0.82,0.82,0.82,0.82
259,1.07,1.21,0.96,0.71,0.96,0.9,0.9,0.71,0.71,0.96,0.96,0.71
260,1.18,0.98,0.97,1.3,0.97,1.34,1.34,1.3,1.3,0.97,0.97,1.3
261,1.46,1.16,1.15,0.8,1.15,1.03,1.03,0.8,0.8,1.15,1.15,0.8
262,1.22,1.1,0.56,1.16,0.56,0.82,0.82,1.16,1.16,0.56,0.56,1.16
263,1.04,1.62,0.74,0.73,0.74,0.81,0.81,0.73,0.73,0.74,0.74,0.73
264,0.81,1.06,1.05,1.04,1.05,0.56,0.56,1.04,1.04,1.05,1.05,1.04
265,0.72,1.1,0.93,0.72,0.93,0.49,0.49,0.72,0.72,0.93,0.93,0.72
266,1.24,1.07,0.92,0.86,0.92,0.86,0.86,0.86,0.86,0.92,0.92,0.86
267,1.24,1.07,0.51,1.06,0.51,0.92,0.92,1.06,1.06,0.51,0.51,1.06
268,1.36,0.99,1.48,1.36,1.48,2.05,2.05,1.36,1.36,1.48,1.48,1.36
269,0.8,0.8,2.28,0.99,2.28,0.57,0.57,0.99,0.99,2.28,2.28,0.99
270,1.13,1.02,1.74,0.72,1.74,0.91,0.91,0.72,0.72,1.74,1.74,0.72
271,1.2,0.9,0.7,0.78,0.7,1.23,1.23,0.78,0.78,0.7,0.7,0.78
272,1.2,0.9,0.55,0.96,0.55,0.77,0.77,0.96,0.96,0.55,0.55,0.96
273,1.12,1.28,0.6,1.05,0.6,1.14,1.14,1.05,1.05,0.6,0.6,1.05
274,0.74,1.07,1.83,0.71,1.83,0.5,0.5,0.71,0.71,1.83,1.83,0.71
275,0.97,1.72,0.69,0.79,0.69,0.59,0.59,0.79,0.79,0.69,0.69,0.79
276,1.13,1.02,0.97,0.72,0.97,0.91,0.91,0.72,0.72,0.97,0.97,0.72
277,1.13,1.02,1.74,1.07,1.74,0.91,0.91,1.07,1.07,1.74,1.74,1.07
278,1.18,1.45,0.8,1.16,0.8,1.33,1.33,1.16,1.16,0.8,0.8,1.16
279,0.82,1.03,0.93,0.73,0.93,0.54,0.54,0.73,0.73,0.93,0.93,0.73
280,0.82,1.03,1.42,0.77,1.42,0.54,0.54,0.77,0.77,1.42,1.42,0.77
281,0.88,1.29,2.06,0.7,2.06,0.51,0.51,0.7,0.7,2.06,2.06,0.7
282,0.92,0.83,0.59,1.07,0.59,0.71,0.71,1.07,1.07,0.59,0.59,1.07
283,0.9,0.87,0.89,0.87,0.89,0.62,0.62,0.87,0.87,0.89,0.89,0.87
284,0.82,0.87,1.84,1.01,1.84,0.58,0.58,1.01,1.01,1.84,1.84,1.01
285,1.46,0.91,0.46,0.92,0.46,0.93,0.93,0.92,0.92,0.46,0.46,0.92
286,1.46,0.91,0.46,1.37,0.46,1.07,1.07,1.37,1.37,0.46,0.46,1.37
287,0.93,1.38,1.87,0.98,1.87,0.51,0.51,0.98,0.98,1.87,1.87,0.98
288,1.18,1.05,1.22,0.71,1.22,0.88,0.88,0.71,0.71,1.22,1.22,0.71
289,0.7,0.76,0.53,1.03,0.53,0.47,0.47,1.03,1.03,0.53,0.53,1.03
290,0.86,0.93,0.73,0.97,0.73,0.53,0.53,0.97,0.97,0.73,0.73,0.97
291,0.72,1.22,1.23,0.92,1.23,0.64,0.64,0.92,0.92,1.23,1.23,0.92
292,1.13,1.02,1.74,0.72,1.74,0.98,0.98,0.72,0.72,1.74,1.74,0.72
293,1.13,1.02,1.57,0.72,1.57,0.91,0.91,0.72,0.72,1.57,1.57,0.72
294,0.78,1.07,1.76,0.65,1.76,0.5,0.5,0.65,0.65,1.76,1.76,0.65
295,1.3,0.96,0.84,1.13,0.84,0.96,0.96,1.13,1.13,0.84,0.84,1.13
296,1.03,0.87,0.64,1.36,0.64,0.8,0.8,1.36,1.36,0.64,0.64,1.36
297,0.7,1.72,1.2,0.77,1.2,0.48,0.48,0.77,0.77,1.2,1.2,0.77
298,1.2,0.9,0.99,1.0,0.99,1.29,1.29,1.0,1.0,0.99,0.99,1.0
299,1.1,0.8,1.14,0.74,1.14,0.91,0.91,0.74,0.74,1.14,1.14,0.74
300,0.72,1.22,1.58,0.9,1.58,0.55,0.55,0.9,0.9,1.58,1.58,0.9
301,1.13,0.92,1.34,1.17,1.34,0.78,0.78,1.17,1.17,1.34,1.34,1.17
302,0.86,1.0,1.6,0.68,1.6,0.61,0.61,0.68,0.68,1.6,1.6,0.68
303,1.17,0.83,0.96,0.98,0.96,0.71,0.71,0.98,0.98,0.96,0.96,0.98
304,1.14,1.08,2.19,0.73,2.19,0.98,0.98,0.73,0.73,2.19,2.19,0.73
305,1.14,1.08,2.19,1.09,2.19,0.98,0.98,1.09,1.09,2.19,2.19,1.09
306,1.22,1.1,0.61,0.99,0.61,0.88,0.88,0.99,0.99,0.61,0.61,0.99
307,0.69,1.16,0.82,0.72,0.82,0.45,0.45,0.72,0.72,0.82,0.82,0.72
308,0.79,0.84,1.8,0.65,1.8,0.45,0.45,0.65,0.65,1.8,1.8,0.65
309,1.14,2.25,1.15,0.75,1.15,0.64,0.64,0.75,0.75,1.15,1.15,0.75
310,0.98,0.92,0.91,0.92,0.91,0.77,0.77,0.92,0.92,0.91,0.91,0.92
311,0.89,0.72,1.7,0.62,1.7,0.56,0.56,0.62,0.62,1.7,1.7,0.62
312,0.72,1.1,1.67,1.07,1.67,0.53,0.53,1.07,1.07,1.67,1.67,1.07
313,0.88,0.95,1.41,0.69,1.41,0.72,0.72,0.69,0.69,1.41,1.41,0.69
314,0.85,1.07,0.98,0.92,0.98,0.59,0.59,0.92,0.92,0.98,0.98,0.92
315,1.14,1.04,1.65,0.81,1.65,0.83,0.83,0.81,0.81,1.65,1.65,0.81
316,0.97,1.16,1.0,1.28,1.0,1.53,1.53,1.28,1.28,1.0,1.0,1.28
317,1.14,2.25,0.87,1.0,0.87,0.64,0.64,1.0,1.0,0.87,0.87,1.0
318,1.07,0.74,1.63,0.98,1.63,0.78,0.78,0.98,0.98,1.63,1.63,0.98
319,1.18,0.98,0.54,0.92,0.54,0.8,0.8,0.92,0.92,0.54,0.54,0.92
320,0.93,0.93,1.67,0.61,1.67,0.68,0.68,0.61,0.61,1.67,1.67,0.61
321,1.26,0.84,0.89,1.08,0.89,1.17,1.17,1.08,1.08,0.89,0.89,1.08
322,0.92,0.86,1.43,0.68,1.43,0.71,0.71,0.68,0.68,1.43,1.43,0.68
323,1.2,0.83,0.46,1.23,0.46,0.79,0.79,1.23,1.23,0.46,0.46,1.23
324,0.77,1.07,0.88,0.93,0.88,0.54,0.54,0.93,0.93,0.88,0.88,0.93
325,0.9,0.85,1.78,0.95,1.78,0.62,0.62,0.95,0.95,1.78,1.78,0.95
326,0.92,0.83,0.69,0.76,0.69,0.92,0.92,0.76,0.76,0.69,0.69,0.76
327,0.81,0.98,1.28,0.52,1.28,0.69,0.69,0.52,0.52,1.28,1.28,0.52
328,0.98,0.95,2.34,1.01,2.34,0.67,0.67,1.01,1.01,2.34,2.34,1.01
329,1.01,0.92,1.81,0.88,1.81,0.99,0.99,0.88,0.88,1.81,1.81,0.88
330,1.15,0.95,0.7,0.81,0.7,1.52,1.52,0.81,0.81,0.7,0.7,0.81
331,0.8,1.1,1.41,0.64,1.41,0.63,0.63,0.64,0.64,1.41,1.41,0.64
332,0.78,1.07,1.01,0.66,1.01,0.42,0.42,0.66,0.66,1.01,1.01,0.66
333,0.92,0.83,1.05,0.72,1.05,0.71,0.71,0.72,0.72,1.05,1.05,0.72
334,0.84,1.18,1.29,0.71,1.29,0.56,0.56,0.71,0.71,1.29,1.29,0.71
335,1.18,1.39,0.58,1.05,0.58,1.22,1.22,1.05,1.05,0.58,0.58,1.05
336,1.2,1.06,1.0,0.93,1.0,1.05,1.05,0.93,0.93,1.0,1.0,0.93
337,1.28,1.09,0.94,0.94,0.94,0.86,0.86,0.94,0.94,0.94,0.94,0.94
338,1.0,1.11,0.64,1.04,0.64,0.61,0.61,1.04,1.04,0.64,0.64,1.04
339,1.1,1.05,0.76,0.86,0.76,0.84,0.84,0.86,0.86,0.76,0.76,0.86
340,1.1,1.05,1.37,0.86,1.37,0.84,0.84,0.86,0.86,1.37,1.37,0.86
341,0.69,1.08,1.37,0.73,1.37,0.53,0.53,0.73,0.73,1.37,1.37,0.73
342,1.16,0.97,0.57,0.75,0.57,0.9,0.9,0.75,0.75,0.57,0.57,0.75
343,0.76,1.14,1.27,0.6,1.27,0.59,0.59,0.6,0.6,1.27,1.27,0.6
344,1.08,1.13,0.75,0.97,0.75,0.9,0.9,0.97,0.97,0.75,0.75,0.97
345,0.94,0.89,1.59,0.62,1.59,0.65,0.65,0.62,0.62,1.59,1.59,0.62
346,1.18,0.98,0.54,1.3,0.54,0.8,0.8,1.3,1.3,0.54,0.54,1.3
347,0.83,1.06,1.17,1.06,1.17,0.59,0.59,1.06,1.06,1.17,1.17,1.06
348,1.2,0.83,0.64,1.03,0.64,1.05,1.05,1.03,1.03,0.64,0.64,1.03
349,1.29,1.22,0.6,0.94,0.6,0.79,0.79,0.94,0.94,0.6,0.6,0.94
350,0.87,1.03,0.68,0.75,0.68,0.77,0.77,0.75,0.75,0.68,0.68,0.75
351,0.93,0.9,1.94,0.59,1.94,0.66,0.66,0.59,0.59,1.94,1.94,0.59
352,0.88,1.29,3.69,0.7,3.69,0.51,0.51,0.7,0.7,3.69,3.69,0.7
353,1.24,0.92,0.56,1.41,0.56,1.53,1.53,1.41,1.41,0.56,0.56,1.41
354,1.24,0.92,0.56,1.41,0.56,1.06,1.06,1.41,1.41,0.56,0.56,1.41
355,0.78,1.28,0.76,0.87,0.76,0.46,0.46,0.87,0.87,0.76,0.76,0.87
356,1.0,0.88,1.09,0.69,1.09,0.62,0.62,0.69,0.69,1.09,1.09,0.69
357,1.3,0.96,0.94,1.22,0.94,0.83,0.83,1.22,1.22,0.94,0.94,1.22
358,0.75,0.93,1.71,0.87,1.71,0.91,0.91,0.87,0.87,1.71,1.71,0.87
359,0.88,0.98,1.97,0.93,1.97,0.56,0.56,0.93,0.93,1.97,1.97,0.93
360,0.9,0.88,0.84,0.89,0.84,0.68,0.68,0.89,0.89,0.84,0.84,0.89
361,0.82,0.84,2.75,0.94,2.75,0.69,0.69,0.94,0.94,2.75,2.75,0.94
362,0.83,1.23,2.13,0.92,2.13,0.86,0.86,0.92,0.92,2.13,2.13,0.92
363,0.94,0.71,2.36,0.93,2.36,0.59,0.59,0.93,0.93,2.36,2.36,0.93
364,0.97,1.18,3.75,0.61,3.75,0.54,0.54,0.61,0.61,3.75,3.75,0.61
365,0.85,0.97,1.19,0.74,1.19,0.55,0.55,0.74,0.74,1.19,1.19,0.74
366,0.9,0.94,1.68,0.72,1.68,0.61,0.61,0.72,0.72,1.68,1.68,0.72
367,1.0,0.96,0.64,1.25,0.64,0.86,0.86,1.25,1.25,0.64,0.64,1.25
368,0.88,1.02,0.99,1.09,0.99,0.57,0.57,1.09,1.09,0.99,0.99,1.09
369,1.02,0.75,0.88,0.86,0.88,0.77,0.77,0.86,0.86,0.88,0.88,0.86
370,1.09,1.07,0.65,1.54,0.65,0.86,0.86,1.54,1.54,0.65,0.65,1.54
371,1.0,0.88,1.24,0.86,1.24,0.62,0.62,0.86,0.86,1.24,1.24,0.86
372,0.77,1.04,2.91,0.68,2.91,0.61,0.61,0.68,0.68,2.91,2.91,0.68
373,0.83,1.06,0.82,0.74,0.82,0.57,0.57,0.74,0.74,0.82,0.82,0.74
374,0.79,0.98,2.26,0.91,2.26,0.52,0.52,0.91,0.91,2.26,2.26,0.91
375,0.79,1.02,3.51,0.58,3.51,0.65,0.65,0.58,0.58,3.51,3.51,0.58
376,0.93,0.84,0.68,1.12,0.68,0.95,0.95,1.12,1.12,0.68,0.68,1.12
377,1.0,0.96,0.8,1.16,0.8,1.43,1.43,1.16,1.16,0.8,0.8,1.16
378,1.13,0.79,1.29,0.72,1.29,0.7,0.7,0.72,0.72,1.29,1.29,0.72
379,0.87,0.78,1.02,0.65,1.02,0.59,0.59,0.65,0.65,1.02,1.02,0.65
380,0.94,0.88,1.0,0.95,1.0,0.77,0.77,0.95,0.95,1.0,1.0,0.95
381,1.15,1.17,1.31,0.74,1.31,0.86,0.86,0.74,0.74,1.31,1.31,0.74
382,1.15,1.17,0.73,1.11,0.73,0.86,0.86,1.11,1.11,0.73,0.73,1.11
383,1.3,0.84,0.69,0.99,0.69,0.87,0.87,0.99,0.99,0.69,0.69,0.99
384,0.86,0.68,2.14,0.73,2.14,0.96,0.96,0.73,0.73,2.14,2.14,0.73
385,0.82,1.03,0.93,0.73,0.93,0.54,0.54,0.73,0.73,0.93,0.93,0.73
386,0.7,0.92,0.91,1.0,0.91,0.68,0.68,1.0,1.0,0.91,0.91,1.0
387,1.08,1.52,1.07,0.97,1.07,0.82,0.82,0.97,0.97,1.07,1.07,0.97
388,0.87,1.21,0.81,0.69,0.81,0.62,0.62,0.69,0.69,0.81,0.81,0.69
389,1.3,0.84,0.56,1.48,0.56,1.0,1.0,1.48,1.48,0.56,0.56,1.48
390,1.12,0.95,0.77,1.29,0.77,1.33,1.33,1.29,1.29,0.77,0.77,1.29
391,1.14,1.08,2.19,0.73,2.19,0.98,0.98,0.73,0.73,2.19,2.19,0.73
392,0.67,0.84,0.55,0.93,0.55,0.49,0.49,0.93,0.93,0.55,0.55,0.93
Out of State,2.1,3.16,4.27,1.86,4.27,3.37,3.37,1.86,1.86,4.27,4.27,1.86
