TERRITORY,Bodily Injury(AA)20/40,"Property Damage(BB/BV)$100,000",PIP(VA-01),Collision(DD)$100 DED.,Comprehensive(HH)$50 DED.,UM(SS)20/40,UIM(SU)20/40,Unnamed: 0,Unnamed: 1
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8001,442.38,165.41,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8002,527.19,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8003,527.19,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8004,488.94,165.41,"6,709.55",1055.18,104.23,28.70,28.70,30.21,30.21
8005,501.11,150.35,"7,173.95",957.45,107.10,30.99,30.99,33.30,33.30
8006,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8009,533.25,175.00,"3,920.41",889.42,73.83,30.21,30.21,30.21,30.21
8014,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8015,563.26,167.67,"8,085.09",1092.42,95.82,25.67,25.67,27.11,27.11
8017,535.44,162.17,"5,798.66",1039.59,86.37,25.67,25.67,27.11,27.11
8021,624.50,181.85,"9,088.16",1132.82,153.19,61.93,61.93,63.44,63.44
8022,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8023,488.94,165.41,"6,709.55",1055.18,104.23,28.70,28.70,30.21,30.21
8025,542.03,170.24,"5,566.30",936.42,82.03,30.21,30.21,30.21,30.21
8026,563.26,159.12,"7,986.41",1092.42,95.82,25.67,25.67,27.11,27.11
8027,667.55,144.46,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8028,442.38,165.41,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8030,563.26,167.67,"8,085.09",1094.09,105.90,25.67,25.67,27.11,27.11
8032,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8033,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8034,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8035,514.95,179.89,"7,986.41",1055.18,108.90,28.70,28.70,30.21,30.21
8036,514.95,175.35,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8038,501.11,175.35,"7,986.41",1125.63,108.90,28.70,28.70,30.21,30.21
8039,442.38,150.35,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8040,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8041,480.48,139.70,"7,173.95",866.26,107.10,30.99,30.99,33.30,33.30
8042,473.58,156.24,"7,986.41",1046.80,101.32,28.70,28.70,30.21,30.21
8043,514.95,175.35,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8044,440.29,170.90,"7,986.41",1080.58,97.99,28.70,28.70,30.21,30.21
8045,514.95,175.35,"7,986.41",1055.18,108.90,28.70,28.70,30.21,30.21
8047,473.58,159.91,"7,986.41",1055.18,102.40,28.70,28.70,30.21,30.21
8048,465.91,166.23,"7,783.19",1018.43,108.90,28.70,28.70,30.21,30.21
8049,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8050,480.48,150.35,"7,173.95",866.26,96.90,30.99,30.99,33.30,33.30
8051,514.95,170.90,"7,986.41",1029.98,103.49,28.70,28.70,30.21,30.21
8054,480.48,150.35,"6,845.72",866.26,96.90,28.06,28.06,30.13,30.13
8059,667.55,133.07,"8,124.11",904.17,126.56,35.53,35.53,36.40,36.40
8060,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8062,480.48,150.35,"7,173.95",866.26,107.10,30.99,30.99,33.30,33.30
8063,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8064,442.38,150.35,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8065,501.11,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8066,514.95,181.85,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8067,542.03,178.23,"5,478.46",936.42,82.03,30.21,30.21,30.21,30.21
8069,563.26,167.67,"8,085.09",1094.09,105.90,25.67,25.67,27.11,27.11
8070,563.26,167.67,"7,315.08",1094.09,105.90,25.67,25.67,27.11,27.11
8071,563.26,165.93,"7,315.08",989.90,95.82,25.67,25.67,27.11,27.11
8072,514.56,160.34,"3,852.13",889.42,77.05,30.21,30.21,30.21,30.21
8073,542.03,178.23,"5,478.46",936.42,82.03,30.21,30.21,30.21,30.21
8074,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8075,688.74,178.54,"13,532.26",1524.79,284.70,191.30,191.30,196.74,196.74
8076,597.04,181.98,"9,088.16",1374.26,201.72,174.25,174.25,178.54,178.54
8079,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8080,514.95,181.85,"8,602.47",1092.42,115.83,28.70,28.70,30.21,30.21
8081,514.95,181.85,"8,602.47",1055.18,108.90,28.70,28.70,30.21,30.21
8082,514.95,181.85,"8,602.47",1055.18,108.90,28.70,28.70,30.21,30.21
8083,484.56,150.74,"7,095.86",988.55,92.98,25.67,25.67,27.11,27.11
8084,563.26,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8085,501.11,165.84,"7,173.95",988.55,93.89,25.67,25.67,27.11,27.11
8088,518.23,159.12,"7,761.77",1006.56,93.89,25.67,25.67,27.11,27.11
8089,690.24,181.85,"9,088.16",1132.82,153.19,61.93,61.93,63.44,63.44
8091,647.54,166.23,"9,088.16",1132.82,153.19,56.02,56.02,57.40,57.40
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8092,563.26,159.12,"8,085.09",1094.09,95.82,25.67,25.67,27.11,27.11
8093,563.26,159.12,"8,085.09",1092.42,95.82,25.67,25.67,27.11,27.11
8094,501.11,166.23,"7,783.19",1122.45,108.90,28.70,28.70,30.21,30.21
8095,501.11,149.52,"7,003.37",957.45,96.90,30.99,30.99,33.30,33.30
8096,501.11,166.23,"7,783.19",1122.45,108.90,28.70,28.70,30.21,30.21
8097,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8098,509.61,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8101,527.19,153.84,"7,735.70",993.65,120.09,56.02,56.02,57.40,57.40
8103,383.13,153.80,"4,934.44",877.13,101.66,19.13,19.13,21.74,21.74
8104,423.45,153.80,"4,934.44",877.13,101.66,19.13,19.13,21.74,21.74
8105,423.45,153.80,"4,934.44",937.56,101.66,21.14,21.14,21.74,21.74
8108,423.45,153.80,"4,934.44",877.13,101.66,19.13,19.13,21.74,21.74
8109,423.45,153.80,"4,934.44",937.56,101.66,19.13,19.13,21.74,21.74
8110,527.19,153.84,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8111,445.76,120.50,"11,405.89",994.45,130.42,26.68,26.68,27.33,27.33
8114,527.19,136.08,"6,640.45",823.35,107.10,28.06,28.06,30.13,30.13
8115,523.52,152.45,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8116,446.71,146.60,"6,845.72",852.19,96.90,28.06,28.06,30.13,30.13
8117,527.19,153.84,"6,615.02",841.52,104.99,23.23,23.23,24.54,24.54
8118,523.52,152.45,"5,445.18",841.52,114.81,23.23,23.23,24.54,24.54
8120,596.93,172.04,"14,654.65",1371.60,192.07,115.57,115.57,105.73,105.73
8122,527.19,153.84,"10,012.12",1007.73,122.42,56.02,56.02,57.40,57.40
8123,582.64,153.84,"10,012.12",1007.73,122.42,56.02,56.02,57.40,57.40
8124,582.64,153.84,"10,012.12",1007.73,122.42,56.02,56.02,57.40,57.40
8125,527.19,153.84,"10,012.12",1007.73,122.42,56.02,56.02,57.40,57.40
8126,596.93,172.04,"14,654.65",1371.60,192.07,115.57,115.57,105.73,105.73
8127,534.78,161.74,"11,428.90",1344.13,142.52,104.57,104.57,105.73,105.73
8128,582.64,153.84,"10,012.12",1045.90,122.42,56.02,56.02,57.40,57.40
8130,441.41,147.08,"7,558.16",923.33,114.81,32.15,32.15,33.60,33.60
8131,527.19,160.82,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8133,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
8134,528.82,154.63,"7,112.82",891.76,105.32,24.17,24.17,24.54,24.54
8135,527.19,143.46,"10,012.12",946.29,116.07,56.02,56.02,57.40,57.40
8137,441.41,147.08,"8,253.13",923.33,117.79,32.15,32.15,33.60,33.60
8138,528.82,154.63,"7,861.53",891.76,105.32,24.17,24.17,24.54,24.54
8139,480.48,149.56,"6,845.72",945.55,96.90,28.06,28.06,30.13,30.13
8140,527.19,160.82,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8141,527.19,154.63,"11,354.58",1179.02,156.93,104.57,104.57,105.73,105.73
8143,441.41,147.08,"8,253.13",923.33,114.81,32.15,32.15,33.60,33.60
8144,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
8145,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
8146,527.19,153.84,"10,012.12",994.45,116.07,56.02,56.02,57.40,57.40
8150,456.74,131.02,"5,639.29",933.55,93.82,36.25,36.25,37.14,37.14
8152,393.07,148.00,"8,440.48",1002.98,104.15,22.65,22.65,23.22,23.22
8154,456.74,131.02,"5,639.29",933.55,93.82,36.25,36.25,37.14,37.14
8157,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
8158,523.52,148.65,"6,615.02",841.52,114.81,23.23,23.23,24.54,24.54
8159,527.19,153.84,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8160,527.19,160.82,"7,003.37",841.52,104.99,24.17,24.17,24.54,24.54
8161,527.19,160.82,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8162,527.19,153.84,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8164,552.31,153.84,"13,776.28",989.90,138.76,26.68,26.68,27.33,27.33
8165,527.19,149.56,"6,845.72",945.55,96.90,28.06,28.06,30.13,30.13
8166,527.19,153.84,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8167,445.76,169.50,"6,899.64",1002.98,110.07,21.14,21.14,21.74,21.74
8168,445.76,169.50,"6,899.64",1002.98,110.07,21.14,21.14,21.74,21.74
8169,441.41,147.08,"7,584.17",923.33,114.81,32.15,32.15,33.60,33.60
8170,445.76,153.36,"6,899.64",937.56,110.07,21.14,21.14,21.74,21.74
8173,528.82,154.63,"7,112.82",891.76,105.32,24.17,24.17,24.54,24.54
8174,552.31,153.84,"14,622.84",994.45,138.76,26.68,26.68,27.33,27.33
8175,393.07,163.57,"9,862.81",1002.98,104.15,22.65,22.65,21.74,21.74
8176,523.52,152.45,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
8177,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8178,445.76,153.36,"6,899.64",937.56,110.07,21.14,21.14,21.74,21.74
8179,527.19,153.84,"6,615.02",841.52,104.99,23.23,23.23,24.54,24.54
8180,527.19,153.84,"10,012.12",994.45,116.07,56.02,56.02,57.40,57.40
8182,527.19,160.82,"7,003.37",761.38,104.99,23.23,23.23,24.54,24.54
8183,528.82,154.63,"7,112.82",891.76,105.32,24.17,24.17,24.54,24.54
8184,445.76,153.84,"6,478.34",994.45,110.07,21.14,21.14,21.74,21.74
8185,445.76,153.36,"6,899.64",933.55,110.07,21.14,21.14,23.22,23.22
8186,527.19,139.26,"7,735.70",994.45,104.57,56.02,56.02,57.40,57.40
8187,445.76,153.36,"6,478.34",994.45,110.07,21.14,21.14,21.74,21.74
8188,445.76,153.36,"6,478.34",994.45,110.07,21.14,21.14,21.74,21.74
8189,403.30,153.36,"6,242.53",945.55,110.07,21.14,21.14,21.74,21.74
8190,552.31,154.41,"14,622.84",989.90,138.76,26.68,26.68,27.33,27.33
8191,552.31,153.84,"14,622.84",989.90,138.76,26.68,26.68,27.33,27.33
8192,527.19,139.26,"7,735.70",899.01,109.32,56.02,56.02,57.40,57.40
8193,527.19,139.26,"6,998.96",899.01,120.83,56.02,56.02,57.40,57.40
8195,527.19,153.84,"10,012.12",994.45,116.07,56.02,56.02,57.40,57.40
8197,423.45,153.80,"4,934.44",937.56,101.66,21.14,21.14,21.74,21.74
8198,423.45,153.80,"4,934.44",969.46,101.66,21.14,21.14,21.74,21.74
8201,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8202,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8203,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8204,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8205,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8206,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8207,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8208,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8209,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8210,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8211,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8212,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8213,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8214,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8215,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8216,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8217,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8218,527.19,153.84,"10,012.12",1007.73,128.30,56.02,56.02,57.40,57.40
8219,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8220,535.44,154.41,"6,538.20",1039.59,95.21,25.67,25.67,27.11,27.11
8221,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8223,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8224,859.95,198.56,"19,851.03",1646.80,375.67,213.17,213.17,217.73,217.73
8225,624.50,181.85,"9,937.15",1252.07,153.19,61.93,61.93,63.44,63.44
8226,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8227,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8228,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8229,527.19,153.84,"10,012.12",994.45,116.07,56.02,56.02,57.40,57.40
8230,514.95,181.85,"8,602.47",1125.63,115.83,28.70,28.70,30.21,30.21
8234,763.50,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8235,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8236,514.95,181.85,"8,602.47",1125.63,115.83,28.70,28.70,30.21,30.21
8237,647.68,183.20,"13,731.40",1433.62,276.34,174.25,174.25,178.54,178.54
8238,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8239,477.69,167.67,"11,817.69",1088.80,152.52,90.90,90.90,93.80,93.80
8240,393.07,163.57,"10,901.01",1002.98,115.12,22.65,22.65,23.22,23.22
8242,552.31,153.84,"14,622.84",994.45,138.76,26.68,26.68,27.33,27.33
8301,638.40,196.95,"9,385.03",1169.78,89.81,34.02,34.02,37.14,37.14
8302,672.18,196.95,"9,206.79",1231.04,96.90,34.02,34.02,37.14,37.14
8303,672.18,196.95,"11,403.46",1122.45,96.90,34.02,34.02,37.14,37.14
8304,672.18,196.95,"10,167.08",1122.45,96.90,34.02,34.02,37.14,37.14
8306,509.61,167.67,"7,315.08",1094.09,95.82,24.17,24.17,24.54,24.54
8307,501.11,174.09,"6,000.74",988.55,88.48,25.67,25.67,27.11,27.11
8309,509.61,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8310,509.61,159.12,"8,085.09",1094.09,95.82,25.67,25.67,27.11,27.11
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8312,563.26,167.67,"8,085.09",1092.42,95.82,25.67,25.67,27.11,27.11
8313,493.34,175.35,"7,491.35",1041.69,85.32,20.42,20.42,20.11,20.11
8314,493.34,174.52,"7,491.35",1041.69,85.32,20.42,20.42,20.11,20.11
8315,501.11,183.73,"7,986.41",1125.63,108.90,28.70,28.70,30.21,30.21
8316,493.34,174.52,"7,173.95",1041.69,85.32,20.42,20.42,20.11,20.11
8317,493.34,189.09,"7,491.35",988.55,85.32,20.42,20.42,20.11,20.11
8320,523.63,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8321,501.11,165.84,"7,173.95",1006.56,93.89,25.67,25.67,27.11,27.11
8322,672.18,195.16,"8,552.94",1231.04,98.21,34.02,34.02,37.14,37.14
8323,672.18,195.16,"10,320.08",1231.04,96.90,34.02,34.02,37.14,37.14
8324,523.63,129.19,"5,255.09",984.63,95.82,25.67,25.67,27.11,27.11
8326,509.61,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8327,523.63,148.78,"7,003.37",957.45,96.90,30.99,30.99,33.30,33.30
8328,523.63,167.15,"7,315.08",1010.58,95.82,25.67,25.67,27.11,27.11
8329,534.78,148.78,"6,121.86",1010.58,86.31,24.17,24.17,24.54,24.54
8330,518.23,150.04,"7,022.55",1006.56,93.89,24.17,24.17,24.54,24.54
8331,413.55,143.85,"6,852.15",1095.59,121.00,32.51,32.51,33.30,33.30
8334,372.22,122.78,"8,413.65",1035.81,121.00,32.51,32.51,33.30,33.30
8335,413.55,163.57,"8,082.54",1113.81,121.00,29.42,29.42,30.13,30.13
8336,413.55,143.85,"7,616.68",1002.98,106.49,32.51,32.51,33.30,33.30
8340,523.63,148.78,"8,205.32",1157.42,110.49,111.40,111.40,114.80,114.80
8341,511.26,161.26,"8,284.05",1243.17,114.07,111.40,111.40,114.80,114.80
8342,538.10,148.82,"10,398.81",1243.17,119.66,111.40,111.40,114.80,114.80
8346,523.63,148.78,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8348,501.11,149.52,"7,003.37",945.55,96.90,28.06,28.06,30.13,30.13
8350,527.19,149.52,"6,845.72",945.55,96.90,28.06,28.06,30.13,30.13
8353,487.86,147.08,"8,253.13",923.33,114.81,32.15,32.15,33.60,33.60
8356,527.19,149.52,"6,845.72",945.55,96.90,28.06,28.06,30.13,30.13
8357,527.19,149.52,"6,845.72",945.55,96.90,28.06,28.06,30.13,30.13
8359,501.11,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8360,501.11,149.52,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8362,477.96,146.60,"7,003.37",861.64,96.90,28.06,28.06,30.13,30.13
8363,501.11,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8366,527.19,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8367,527.19,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8370,527.19,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8371,501.11,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8374,393.07,163.57,"9,862.81",1002.98,104.15,22.65,22.65,21.74,21.74
8375,393.07,163.57,"9,862.81",1002.98,104.15,22.65,22.65,21.74,21.74
8376,393.07,163.57,"9,862.81",1002.98,544.02,22.65,22.65,21.74,21.74
8377,480.48,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8380,527.19,149.52,"6,845.72",866.26,96.90,28.06,28.06,30.13,30.13
8381,527.19,146.60,"6,845.72",857.00,96.90,28.06,28.06,30.13,30.13
8382,523.63,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8383,629.14,134.26,"7,298.90",1002.35,105.32,20.42,20.42,20.11,20.11
8386,477.96,142.02,"5,372.19",957.45,93.98,28.06,28.06,30.13,30.13
8387,523.63,154.41,"7,003.37",957.45,96.90,30.99,30.99,33.30,33.30
8390,523.63,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8393,527.19,154.41,"7,003.37",957.45,96.90,28.06,28.06,30.13,30.13
8401,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8410,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8411,480.48,139.70,"6,845.72",874.77,107.10,28.06,28.06,30.13,30.13
8412,527.19,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8413,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8414,385.39,140.23,"6,028.92",820.67,107.56,29.42,29.42,30.13,30.13
8415,371.49,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8416,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8417,371.49,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8418,441.41,140.23,"8,253.13",923.33,117.79,32.15,32.15,33.60,33.60
8419,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8420,480.48,139.70,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8421,480.48,139.70,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8422,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8423,456.29,133.29,"5,582.36",822.93,104.70,28.06,28.06,30.13,30.13
